Business Name,Address,City,State,Zip Code,Business Type,IT Type,Business Description,Year Established,Website,Longitude,Latitude,Location
Energesis Pharmaceuticals,1 Kendall Square,Cambridge,MA,02139,Life Sciences,"Biotechnology, Therapeutics","Energesis Pharmaceuticals focuses on the discovery and development of drugs to treat obesity, diabetes, and related metabolic diseases.",01/01/2009 12:00:00 AM,http://www.energesispharma.com,-71.0901462,42.3672848,POINT (-71.0901462 42.3672848)
PineTree Therapeutics,767 Concord Ave,Cambridge,MA,02138,Life Sciences,"Biotechnology, Medical, Oncology, Therapeutics, Wellness",PineTree Therapeutics engages in the development of disruptive therapies in Oncology and Immuno-oncology.,01/01/2019 12:00:00 AM,https://www.pinetreetx.com/,-71.1533349,42.3929502,POINT (-71.1533349 42.3929502)
Mission BioCapital,139 Main St,Cambridge,MA,02142,Life Sciences,"Life Science, Medical, Venture Capital",Mission BioCapital is a life science venture capital firm that invests in early-stage companies.,01/01/2009 12:00:00 AM,http://www.missionbiocapital.com,-71.0823452,42.3623586,POINT (-71.0823452 42.3623586)
nuTonomy,36 John F. Kennedy St,Cambridge,MA,02138,Technology,"Automotive, Autonomous Vehicles, Mobile, Robotics, Transportation",nuTonomy is a self-driving car company that focuses on inventing software for self-driving vehicles and autonomous mobile robots.,01/01/2013 12:00:00 AM,http://nutonomy.com/,-71.1198689,42.3726743,POINT (-71.1198689 42.3726743)
Aegerion Pharmaceuticals,245 First St #18,Cambridge,MA,02142,Life Sciences,"Biotechnology, Health Care, Therapeutics",Aegerion Pharmaceuticals engages in the development of therapeutics and pharmaceuticals to treat cardiovascular and metabolic diseases.,01/01/2005 12:00:00 AM,http://www.aegerion.com,-71.0815211,42.3623237,POINT (-71.0815211 42.3623237)
Comet Therapeutics,86A Sherman St,Cambridge,MA,02140,Life Sciences,"Biotechnology, Health Care, Wellness",Comet Therapeutics is a developer of therapies designed to treat orphan neurological disorders.,01/01/2018 12:00:00 AM,https://comettherapeutics.com/,-71.1322203,42.3882666,POINT (-71.1322203 42.3882666)
MOMA Therapeutics,20 Acorn Park Dr 6th Floor,Cambridge,MA,02140,Life Sciences,"Biotechnology, Medical, Therapeutics",MOMA Therapeutics operates as a biotechnology company.,01/01/2020 12:00:00 AM,https://momatx.com/,-71.1473678,42.3981597,POINT (-71.1473678 42.3981597)
Convallo Bio,620 Memorial Dr #500,Cambridge,MA,02139,Life Sciences,Biotechnology,"Convallo Bio develops the next generation of beneficial bacteria to improve the wellness of humans, animals and the planet",08/14/2020 12:00:00 AM,http://convallobio.com/,-71.1075331,42.3540486,POINT (-71.1075331 42.3540486)
DTonomy Inc.,36 John F. Kennedy St,Cambridge,MA,02138,Technology,"Artificial Intelligence (AI), Cyber Security, Software",AI-based solution to bridge gap between detection and response and ensure continuous SOC optimization,01/01/2018 12:00:00 AM,https://www.dtonomy.com,-71.1198689,42.3726743,POINT (-71.1198689 42.3726743)
Third Harmonic Bio,700 Technology Square 5th floor,Cambridge,MA,02139,Life Sciences,"Biotechnology, Health Care, Life Science","Third Harmonic Bio is a clinical-stage company developing a first-in-class, highly selective, and oral kit inhibitor.",01/01/2019 12:00:00 AM,https://www.thirdharmonicbio.com,-71.092749,42.3640186,POINT (-71.092749 42.3640186)
